"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 02:56:59 GMT 2022","Sat Dec 24 02:57:00 GMT 2022","1029","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Sat Dec 24 02:57:02 GMT 2022","Sat Dec 24 02:57:03 GMT 2022","972","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Sat Dec 24 02:57:21 GMT 2022","Sat Dec 24 02:57:21 GMT 2022","23","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Sat Dec 24 02:57:02 GMT 2022","Sat Dec 24 02:57:04 GMT 2022","1445","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Sat Dec 24 02:57:18 GMT 2022","Sat Dec 24 02:57:18 GMT 2022","14","tests","test_visual","TestVisualClass","","","test_logo_is_present",""
"passed","Sat Dec 24 02:57:15 GMT 2022","Sat Dec 24 02:57:19 GMT 2022","3537","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Sat Dec 24 02:57:05 GMT 2022","Sat Dec 24 02:57:14 GMT 2022","8706","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Sat Dec 24 02:57:14 GMT 2022","Sat Dec 24 02:57:14 GMT 2022","447","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"failed","Sat Dec 24 02:57:16 GMT 2022","Sat Dec 24 02:57:16 GMT 2022","261","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Sat Dec 24 02:57:09 GMT 2022","Sat Dec 24 02:57:12 GMT 2022","3289","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Sat Dec 24 02:56:59 GMT 2022","Sat Dec 24 02:57:00 GMT 2022","1035","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Sat Dec 24 02:57:06 GMT 2022","Sat Dec 24 02:57:07 GMT 2022","1400","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
